candidate_id,n_sims,oos_trades,actual_oos_max_dd_R,mc_dd_p5,mc_dd_p50,mc_dd_p95,actual_dd_percentile_in_mc
EXP-125_XAUUSD_LONDON_VOL_EXPANSION,10000,114,-15.14,-18.55,-11.61,-7.47,19.0
EXP-126_USDCAD_MOMENTUM_CONTINUATION,10000,57,-7.39,-13.13,-8.23,-5.29,65.2
