weight,control_total_R,combined_total_R,control_max_dd,combined_max_dd,control_max_streak_days,combined_max_streak_days
0.5,142.31,153.02,-14.53,-14.73,7,7
1.0,142.31,163.72,-14.53,-15.24,7,7
