candidate_id,symbol,train_trades,train_pf,train_expectancy_R,val_trades,val_pf,val_expectancy_R,oos_trades,oos_pf,oos_expectancy_R,oos_total_R,oos_win_rate_pct,oos_max_losing_streak
EXP-125_XAUUSD_LONDON_VOL_EXPANSION,XAUUSD,151,1.168,0.109,52,1.182,0.116,114,1.185,0.117,13.31,37.7,7
EXP-126_USDCAD_MOMENTUM_CONTINUATION,USDCAD,57,1.006,0.004,26,0.687,-0.239,57,1.246,0.155,8.83,40.4,7
