transition,n_days,mean_R,mean_R_high_concurrency_subset,mean_R_low_concurrency_subset,evidence
NORMAL_to_HIGH,79,0.0892,0.0542,0.1496,ADEQUATE SAMPLE
HIGH_to_HIGH,152,0.0208,-0.0697,0.2923,ADEQUATE SAMPLE
HIGH_to_NORMAL,79,-0.2477,-0.3544,-0.0173,ADEQUATE SAMPLE
NORMAL_to_NORMAL,103,0.4635,0.5164,0.3407,ADEQUATE SAMPLE
LOW_to_HIGH,27,-0.0415,-0.2638,,ADEQUATE SAMPLE
