weight,control_total_R,combined_total_R,control_max_dd,combined_max_dd,control_max_streak_days,combined_max_streak_days
0.5,126.72,-70.13,-14.53,-110.85,7,4
1.0,126.72,-266.99,-14.53,-279.1,7,5
