strategy,h1_trades,h1_expectancy_R,h1_pf,h2_trades,h2_expectancy_R,h2_pf,verdict
AUDJPY_AMR,136,0.1896,1.851,136,0.0673,1.221,PASS
CADJPY_AMR,129,0.1192,1.448,129,0.1588,1.672,PASS
EURJPY_AMR,154,0.1368,1.566,154,0.1144,1.424,PASS
GBPJPY_AMR,86,0.2413,2.136,87,0.3026,2.448,PASS
CADJPY_ARB,43,0.436,1.866,44,0.1337,1.219,PASS
GBPUSD_MONDAY,33,0.1,1.771,34,0.2669,4.015,PASS
