method,metric,p1,p5,p10,p25,p50,p75,p90,p95,p99,observed,observed_percentile
pooled,PF,0.504803145870023,0.6604908941717144,0.7518845956184049,0.9411853681796443,1.2276149997183463,1.6114784285202939,2.1011236593957583,2.4979029470533702,3.594254127019034,0.513,1.135
pooled,win_rate,46.875,53.125,56.25,62.5,68.75,71.875,78.125,81.25,84.375,37.5,0.015
pooled,max_drawdown_R,-10.563892428847065,-8.078288370464886,-6.891746120203758,-5.155648630216259,-3.7023026921713114,-2.6801684435742734,-2.1557321219390455,-1.7253595498933723,-1.1443702086273506,-8.71,3.52
strategy_aware,PF,0.504221356493217,0.6462945285436773,0.741330965128588,0.9344885816449638,1.213517814985407,1.600576061383118,2.104210740037729,2.5101647053285965,3.6443621616600117,0.513,1.11
strategy_aware,win_rate,46.875,53.125,56.25,62.5,65.625,71.875,78.125,81.25,84.375,37.5,0.025
strategy_aware,max_drawdown_R,-10.470095066909822,-7.991335148911463,-6.8584681940119445,-5.180169772939326,-3.704270965140089,-2.669005859350841,-2.143502222799608,-1.6991414692889153,-1.1511168943829468,-8.71,3.115
strategy_aware,max_losing_streak,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,9.0,99.885
