strategy,session,trades,pct_of_strategy_trades,risk_weight,avg_hold_hours
AUDJPY_AMR,ASIAN,651,100.0,0.0025,2.95
CADJPY_AMR,ASIAN,599,100.0,0.0025,3.73
CADJPY_ARB,LONDON,192,100.0,0.005,26.31
EURJPY_AMR,ASIAN,713,100.0,0.0025,3.17
GBPJPY_AMR,ASIAN,403,100.0,0.0025,4.23
GBPUSD_MONDAY,ASIAN,154,100.0,0.0025,20.2
