strategy,historical_trades,oos_trades,oos_pf,oos_expectancy,oos_win_rate,oos_total_R,max_drawdown,max_losing_streak,status,source_exp_ids
GBPJPY_ARB,193,NOT AVAILABLE,1.19,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-6732.75,8,C. STABLE REGIME RELATIONSHIP,EXP-066
CADJPY_ARB,192,NOT AVAILABLE,1.38,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-7933.62,10,C. STABLE REGIME RELATIONSHIP,EXP-067
XAUUSD_ARB,256,NOT AVAILABLE,1.05,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-6894.40,7,B. WEAK / INCONSISTENT RELATIONSHIP,EXP-068
GBPJPY_AMR,403,NOT AVAILABLE,2.03,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-1842.70,5,E. OTHER / INCONCLUSIVE (revised down from C. STABLE),"EXP-069,EXP-078,EXP-081"
EURJPY_AMR,712,NOT AVAILABLE,1.47,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-4472.01,4,E. OTHER / INCONCLUSIVE,"EXP-070,EXP-079,EXP-081"
AUDJPY_AMR,652,NOT AVAILABLE,1.23,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-2687.24,5,D. STRONG REGIME RELATIONSHIP / B. VOLATILITY-DEPENDENT,"EXP-071,EXP-076,EXP-082"
CADJPY_AMR,598,NOT AVAILABLE,1.35,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-3945.24,6,C. STABLE / D. VOLATILITY+TREND INTERACTION,"EXP-072,EXP-077,EXP-081"
GBPUSD_MONDAY,154,NOT AVAILABLE,3.08,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-559.70,4,B. WEAK / INCONSISTENT RELATIONSHIP,EXP-073
