weight,control_total_R,combined_total_R,control_max_dd,combined_max_dd,control_max_streak_days,combined_max_streak_days
0.5,142.31,135.39,-14.53,-14.64,7,7
1.0,142.31,128.47,-14.53,-14.74,7,7
