strategy,regime,trades,win_rate_pct,avg_R,total_R
AUDJPY_AMR,HIGH,2,0.0,-0.51,-1.02
AUDJPY_AMR,LOW,2,0.0,-0.43,-0.86
AUDJPY_AMR,NORMAL,1,0.0,-0.43,-0.43
CADJPY_AMR,HIGH,3,0.0,-0.487,-1.46
CADJPY_AMR,NORMAL,1,100.0,0.02,0.02
CADJPY_ARB,LOW,2,0.0,-0.58,-1.16
EURJPY_AMR,LOW,2,100.0,0.225,0.45
EURJPY_AMR,NORMAL,2,50.0,-0.1,-0.2
GBPJPY_AMR,HIGH,1,100.0,0.52,0.52
GBPJPY_AMR,NORMAL,1,100.0,0.35,0.35
GBPUSD_MONDAY,NORMAL,2,50.0,-0.265,-0.53
