strategy,n_sims,n_trades,actual_max_dd_R,mc_dd_median,mc_dd_p95,actual_dd_percentile_in_mc
AUDJPY_AMR,10000,272,-7.13,-6.19,-4.25,29.6
CADJPY_AMR,10000,258,-4.07,-5.64,-3.85,92.0
EURJPY_AMR,10000,308,-6.37,-6.17,-4.24,45.1
GBPJPY_AMR,10000,173,-3.99,-3.61,-2.48,36.2
CADJPY_ARB,10000,87,-11.86,-7.54,-5.18,6.5
GBPUSD_MONDAY,10000,67,-1.89,-1.59,-1.04,27.0
