strategy,entry_date,direction,match,recon_sl_pips,recon_tp_pips,hist_sl_pips,hist_r_multiple
AUDJPY_AMR,2023-10-24,SELL,EXACT/ACCEPTABLE MATCH,18.1,12.1,18.1200000000004,-1.1092715231787833
AUDJPY_AMR,2023-10-25,SELL,EXACT/ACCEPTABLE MATCH,55.6,37.0,55.57499999999891,0.6297795771480106
AUDJPY_AMR,2023-10-26,BUY,EXACT/ACCEPTABLE MATCH,32.0,21.3,31.980000000000075,0.6035021888680411
AUDJPY_AMR,2023-10-27,SELL,EXACT/ACCEPTABLE MATCH,22.2,14.8,22.19999999999942,0.5765765765765917
AUDJPY_AMR,2023-10-30,SELL,EXACT/ACCEPTABLE MATCH,23.9,16.0,23.94000000000176,-1.0818713450291602
AUDJPY_AMR,2023-10-31,SELL,EXACT/ACCEPTABLE MATCH,19.6,13.1,19.642499999997654,0.5651011836579521
AUDJPY_AMR,2023-11-01,BUY,EXACT/ACCEPTABLE MATCH,30.5,20.3,30.510000000000304,0.5998033431661691
AUDJPY_AMR,2023-11-03,BUY,EXACT/ACCEPTABLE MATCH,20.7,13.8,20.700000000000784,0.5700483091787224
AUDJPY_AMR,2023-11-06,BUY,EXACT/ACCEPTABLE MATCH,14.7,9.8,14.692499999999598,0.5308831036243127
AUDJPY_AMR,2023-11-07,SELL,EXACT/ACCEPTABLE MATCH,7.8,5.2,7.837500000002251,0.4082934609249226
AUDJPY_AMR,2023-11-08,BUY,EXACT/ACCEPTABLE MATCH,10.4,7.0,10.447499999997234,0.4785833931563842
AUDJPY_AMR,2023-11-09,BUY,EXACT/ACCEPTABLE MATCH,16.1,10.8,16.132500000000505,0.5454827212149218
AUDJPY_AMR,2023-11-10,BUY,EXACT/ACCEPTABLE MATCH,29.8,19.9,29.7975000000001,0.6007215370416961
AUDJPY_AMR,2023-11-13,BUY,EXACT/ACCEPTABLE MATCH,21.5,14.3,21.52499999999833,0.5714285714286158
AUDJPY_AMR,2023-11-14,BUY,EXACT/ACCEPTABLE MATCH,13.9,9.3,13.88250000000042,0.5258418872681274
AUDJPY_AMR,2023-11-15,BUY,EXACT/ACCEPTABLE MATCH,9.5,6.3,9.457499999998475,0.4546656093048578
AUDJPY_AMR,2023-11-16,BUY,EXACT/ACCEPTABLE MATCH,17.9,12.0,17.925000000000324,0.5578800557879955
AUDJPY_AMR,2023-11-17,BUY,EXACT/ACCEPTABLE MATCH,13.1,8.7,13.057500000000744,-1.1564235113918544
AUDJPY_AMR,2023-11-20,BUY,EXACT/ACCEPTABLE MATCH,20.1,13.4,20.09250000000193,0.5673758865247681
AUDJPY_AMR,2023-11-23,BUY,EXACT/ACCEPTABLE MATCH,16.3,10.9,16.28250000000122,0.54659910947332
AUDJPY_AMR,2023-11-24,BUY,EXACT/ACCEPTABLE MATCH,12.9,8.6,12.937500000001023,0.5101449275361916
AUDJPY_AMR,2023-11-27,BUY,EXACT/ACCEPTABLE MATCH,17.8,11.9,17.849999999997834,0.5546218487395631
AUDJPY_AMR,2023-11-28,BUY,EXACT/ACCEPTABLE MATCH,14.6,9.7,14.624999999999488,-1.1350427350427748
AUDJPY_AMR,2023-11-29,BUY,EXACT/ACCEPTABLE MATCH,16.2,10.8,16.207500000000863,-1.1229369119234325
AUDJPY_AMR,2023-11-30,BUY,EXACT/ACCEPTABLE MATCH,25.2,16.8,25.192500000000702,0.5874764314776059
AUDJPY_AMR,2023-12-04,BUY,EXACT/ACCEPTABLE MATCH,16.4,10.9,16.40999999999906,-1.1212675198050612
AUDJPY_AMR,2023-12-05,BUY,EXACT/ACCEPTABLE MATCH,16.5,11.0,16.499999999999915,-1.121212121212127
AUDJPY_AMR,2023-12-06,BUY,EXACT/ACCEPTABLE MATCH,20.3,13.5,20.265000000001265,0.5674808783616719
AUDJPY_AMR,2023-12-07,BUY,EXACT/ACCEPTABLE MATCH,23.8,15.9,23.842499999998523,-1.0821012897138136
AUDJPY_AMR,2023-12-08,BUY,EXACT/ACCEPTABLE MATCH,58.6,39.1,58.64249999999842,0.6326469710534339
AUDJPY_AMR,2023-12-11,SELL,EXACT/ACCEPTABLE MATCH,19.2,12.8,19.22999999999888,0.5616224648986287
AUDJPY_AMR,2023-12-12,BUY,EXACT/ACCEPTABLE MATCH,13.5,9.0,13.485000000000014,-1.1494252873563209
AUDJPY_AMR,2023-12-13,BUY,EXACT/ACCEPTABLE MATCH,13.9,9.3,13.93500000000003,0.5238607822030846
AUDJPY_AMR,2023-12-14,BUY,EXACT/ACCEPTABLE MATCH,37.9,25.3,37.93499999999952,-1.0517991300909584
AUDJPY_AMR,2023-12-15,SELL,EXACT/ACCEPTABLE MATCH,20.9,13.9,20.88749999999848,-1.096349491322641
