split,trades,win_rate_pct,pf,expectancy_R,total_R,max_dd_R,max_losing_streak
IS (2023-01-01 to 2025-01-01),297,46.8,0.83,-0.0783,-23.26,,
OOS (2025-01-01 to 2026-08-14),84,45.2,0.649,-0.1648,-13.84,-14.61,5.0
