predictor,coefficient,std_error,t_stat
intercept,0.2508,0.0699,
vol_pctile,-0.1983,0.0732,-2.71
max_concurrent,-0.0,0.1599,-0.0
jpy_share_pct,-72.7155,42.9893,-1.69
amr_share_pct,117.2802,69.5958,1.69
arb_share_pct,98.8091,58.62,1.69
long_share_pct,0.1756,0.0714,2.46
n_strategies_active,-0.0763,0.1669,-0.46
