strategy,vol_state,trades,win_rate_pct,pf,expectancy_R,total_R
AUDJPY_AMR,LOW,279,74.6,1.338,0.0987,27.55
AUDJPY_AMR,NORMAL,214,71.0,1.256,0.0818,17.51
AUDJPY_AMR,HIGH,158,59.5,0.827,-0.0744,-11.75
CADJPY_AMR,LOW,198,77.8,1.554,0.1408,27.89
CADJPY_AMR,NORMAL,228,67.1,1.026,0.0095,2.16
CADJPY_AMR,HIGH,173,59.5,0.833,-0.0711,-12.3
EURJPY_AMR,LOW,319,70.8,1.164,0.0539,17.18
EURJPY_AMR,NORMAL,235,68.1,1.163,0.0559,13.12
EURJPY_AMR,HIGH,159,66.7,1.164,0.0575,9.14
GBPJPY_AMR,LOW,160,74.4,1.881,0.2467,39.47
GBPJPY_AMR,NORMAL,138,64.5,1.255,0.0964,13.31
GBPJPY_AMR,HIGH,105,60.0,1.122,0.0497,5.22
CADJPY_ARB,LOW,60,45.0,1.145,0.0829,4.97
CADJPY_ARB,NORMAL,71,56.3,1.761,0.3172,22.52
CADJPY_ARB,HIGH,60,43.3,0.875,-0.063,-3.78
GBPUSD_MONDAY,LOW,27,63.0,3.027,0.1325,3.58
GBPUSD_MONDAY,NORMAL,58,69.0,2.699,0.1725,10.0
GBPUSD_MONDAY,HIGH,69,58.0,1.616,0.0951,6.56
