date,jpy_strategies_active,jpy_strategies_losing,jpy_total_R,portfolio_total_R
2026-08-02,2,2,-1.32,-1.96
2026-08-03,3,2,-0.12,-0.12
2026-08-05,1,1,-0.34,-0.34
2026-08-06,1,0,0.33,0.33
2026-08-09,2,2,-0.95,-0.84
2026-08-11,3,2,-0.7,-1.2
2026-08-12,2,0,0.1,0.1
2026-08-13,1,0,0.37,-0.29
