candidate_id,oos_h1_expectancy_R,oos_h2_expectancy_R,oos_subhalf_sign_consistent,param_sensitivity_note,sens_expectancy_minus20pct,sens_expectancy_baseline,sens_expectancy_plus20pct,param_sensitivity_sign_consistent
EXP-125_XAUUSD_LONDON_VOL_EXPANSION,-0.071,0.305,False,see phase33_strategy_discovery.md -- +-20% threshold perturbation results,0.045,0.117,-0.022,False
EXP-126_USDCAD_MOMENTUM_CONTINUATION,-0.091,0.393,False,see phase33_strategy_discovery.md -- +-20% threshold perturbation results,0.242,0.155,-0.26,False
