trade_id,strategy,symbol,direction,signal_time,entry_time,exit_time,holding_time,entry_price,exit_price,stop_loss,take_profit,lots,risk_percent,initial_risk,profit,R,exit_reason,raw_exit_reason,spread,ATR,strategy_reason,demotion_status,r_source,match_method
583033057,CADJPY_AMR,CADJPY,SELL,2026-07-30T23:45:06+00:00,2026-07-30T23:45:06+00:00,2026-07-31T07:00:05+00:00,7.25,0.0,114.587,114.964,113.88,0.03,0.0025,12.17,-5.1,-0.42,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,0.8,52.5,z=+2.52 vs SMA20=113.89940  close=114.33300  reverting to mean,N/A (not a demoted strategy),journal,ticket
583622177,CADJPY_AMR,CADJPY,BUY,2026-08-02T21:15:06+00:00,2026-08-02T21:15:06+00:00,2026-08-03T03:41:24+00:00,6.44,0.0,111.117,111.117,113.381,0.01,0.0025,12.14,-8.72,-0.72,SL,SL,17.9,57.4,z=-2.24 vs SMA20=113.18750  close=112.28200  reverting to mean,N/A (not a demoted strategy),journal,ticket
583622176,AUDJPY_AMR,AUDJPY,BUY,2026-08-02T21:15:06+00:00,2026-08-02T21:15:06+00:00,2026-08-03T03:39:57+00:00,6.41,0.0,109.886,109.893,111.784,0.01,0.0025,12.14,-7.32,-0.6,SL,SL,15.7,55.2,z=-2.03 vs SMA20=111.62545  close=110.86900  reverting to mean,N/A (not a demoted strategy),journal,ticket
583623638,GBPUSD_MONDAY,GBPUSD,BUY,2026-08-02T22:00:16+00:00,2026-08-02T22:00:16+00:00,2026-08-03T21:00:05+00:00,23.0,0.0,1.34191,1.33967,1.35769,0.01,0.0025,12.14,-7.76,-0.64,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,9.4,22.3,Monday drift long: ATR20d=80p  SL=1.25x  TP=1.0x,N/A (not a demoted strategy),journal,ticket
583676662,GBPJPY_AMR,GBPJPY,BUY,2026-08-03T00:45:05+00:00,2026-08-03T00:45:05+00:00,2026-08-03T07:00:06+00:00,6.25,0.0,210.741,206.494,212.455,0.01,0.0025,12.1,6.27,0.52,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,2.5,91.0,z=-2.97 vs SMA20=212.47545  close=209.82600  reverting to mean,N/A (not a demoted strategy),journal,ticket
584202064,AUDJPY_AMR,AUDJPY,SELL,2026-08-03T22:15:05+00:00,2026-08-03T22:15:05+00:00,2026-08-04T04:57:39+00:00,6.71,0.0,110.531,110.531,109.863,0.02,0.0025,12.1,-5.08,-0.42,SL,SL,1.3,24.2,z=+2.16 vs SMA20=109.87885  close=110.14600  reverting to mean,N/A (not a demoted strategy),journal,ticket
584202065,CADJPY_AMR,CADJPY,SELL,2026-08-03T22:15:05+00:00,2026-08-03T22:15:05+00:00,2026-08-04T07:00:07+00:00,8.75,0.0,112.255,112.443,111.778,0.02,0.0025,12.1,-2.68,-0.22,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,0.9,24.0,z=+2.49 vs SMA20=111.79085  close=112.05700  reverting to mean,N/A (not a demoted strategy),journal,ticket
585486268,AUDJPY_AMR,AUDJPY,BUY,2026-08-05T22:00:05+00:00,2026-08-05T22:00:05+00:00,2026-08-06T07:00:05+00:00,9.0,0.0,111.153,111.107,111.4,0.05,0.0025,12.08,-4.12,-0.34,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,4.5,12.0,z=-2.43 vs SMA20=111.29235  close=111.17500  reverting to mean,N/A (not a demoted strategy),journal,ticket
586121074,EURJPY_AMR,EURJPY,SELL,2026-08-06T22:15:05+00:00,2026-08-06T22:15:05+00:00,2026-08-07T02:16:31+00:00,4.02,0.0,182.525,182.751,182.526,0.07,0.0025,12.06,4.02,0.33,TP,TP,1.2,16.0,z=+2.21 vs SMA20=182.52085  close=182.61100  reverting to mean,N/A (not a demoted strategy),journal,ticket
586708626,GBPUSD_MONDAY,GBPUSD,BUY,2026-08-09T22:00:14+00:00,2026-08-09T22:00:14+00:00,2026-08-10T21:00:05+00:00,23.0,1.34938,1.35067,1.33962,1.35718,0.01,0.0025,12.07,1.29,0.11,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,6.2,16.4,Monday drift long: ATR20d=78p  SL=1.25x  TP=1.0x,N/A (not a demoted strategy),journal,ticket
586714281,AUDJPY_AMR,AUDJPY,SELL,2026-08-09T22:15:05+00:00,2026-08-09T22:15:05+00:00,2026-08-10T04:58:39+00:00,6.73,111.553,111.827,111.827,111.37,0.03,0.0025,12.07,-5.19,-0.43,SL,SL,1.3,20.1,z=+2.39 vs SMA20=111.37645  close=111.55900  reverting to mean,N/A (not a demoted strategy),journal,ticket
586714282,CADJPY_AMR,CADJPY,SELL,2026-08-09T22:15:05+00:00,2026-08-09T22:15:05+00:00,2026-08-10T04:54:42+00:00,6.66,113.211,113.46,113.46,113.045,0.04,0.0025,12.07,-6.29,-0.52,SL,SL,0.7,22.8,z=+2.49 vs SMA20=113.04600  close=113.21200  reverting to mean,N/A (not a demoted strategy),journal,ticket
587348562,AUDJPY_AMR,AUDJPY,BUY,2026-08-11T00:00:05+00:00,2026-08-11T00:00:05+00:00,2026-08-11T03:43:03+00:00,3.72,112.3,112.19,112.191,112.371,0.09,0.0025,12.05,-6.23,-0.52,SL,SL,1.2,12.7,z=-2.00 vs SMA20=112.35710  close=112.28500  reverting to mean,N/A (not a demoted strategy),journal,ticket
587348576,EURJPY_AMR,EURJPY,BUY,2026-08-11T00:00:05+00:00,2026-08-11T00:00:05+00:00,2026-08-11T03:42:33+00:00,3.71,183.772,183.645,183.647,183.855,0.08,0.0025,12.05,-6.39,-0.53,SL,SL,1.2,18.1,z=-2.19 vs SMA20=183.84620  close=183.76300  reverting to mean,N/A (not a demoted strategy),journal,ticket
587366610,GBPJPY_AMR,GBPJPY,BUY,2026-08-11T00:45:05+00:00,2026-08-11T00:45:05+00:00,2026-08-11T05:12:29+00:00,4.46,214.913,215.139,214.635,215.135,0.03,0.0025,12.01,4.26,0.35,TP,TP,2.5,22.6,z=-2.92 vs SMA20=215.10605  close=214.88400  reverting to mean,N/A (not a demoted strategy),journal,ticket
587497789,CADJPY_ARB,CADJPY,BUY,2026-08-11T06:00:06+00:00,2026-08-11T06:00:06+00:00,2026-08-12T12:24:13+00:00,30.4,114.298,114.086,114.087,114.705,0.09,0.005,24.05,-12.01,-0.5,SL,SL,0.8,10.9,close above Asian High (no H4 gate),N/A (not a demoted strategy),journal,ticket
588015355,EURJPY_AMR,EURJPY,SELL,2026-08-12T02:45:06+00:00,2026-08-12T02:45:06+00:00,2026-08-12T07:00:05+00:00,4.25,183.937,183.916,184.067,183.85,0.07,0.0025,12.02,0.92,0.08,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,1.2,10.2,z=+2.77 vs SMA20=183.85045  close=183.93700  reverting to mean,N/A (not a demoted strategy),journal,ticket
588589244,CADJPY_AMR,CADJPY,BUY,2026-08-12T23:30:05+00:00,2026-08-12T23:30:05+00:00,2026-08-13T07:00:05+00:00,7.5,114.306,114.31,114.22,114.363,0.11,0.0025,11.99,0.28,0.02,SCHEDULED_STRATEGY_EXIT,MANUAL/OTHER,0.7,13.9,z=-2.09 vs SMA20=114.35630  close=114.29900  reverting to mean,N/A (not a demoted strategy),journal,ticket
588619758,EURJPY_AMR,EURJPY,BUY,2026-08-13T00:45:05+00:00,2026-08-13T00:45:05+00:00,2026-08-13T05:16:54+00:00,4.53,183.641,183.719,183.529,183.716,0.09,0.0025,11.99,4.4,0.37,TP,TP,1.3,13.0,z=-2.00 vs SMA20=183.70700  close=183.63200  reverting to mean,N/A (not a demoted strategy),journal,ticket
