tail_pct,ordinary_days_tail_R,high_vol_days_tail_R,ordinary_days_mean_R,high_vol_days_mean_R
1,-4.4357,-5.3269,0.3585,0.0352
5,-3.1786,-4.2223,0.3585,0.0352
10,-2.4664,-3.1854,0.3585,0.0352
