weight,control_total_R,combined_total_R,control_max_dd,combined_max_dd,control_max_streak_days,combined_max_streak_days
0.5,142.31,115.06,-14.53,-18.13,7,6
1.0,142.31,87.81,-14.53,-22.78,7,6
