trade_id,strategy,event_classification,is_deviation,expected_exit_utc,actual_exit_time,actual_exit_price,actual_exit_pnl,intended_exit_price,intended_exit_pnl,pnl_difference,counterfactual_note
578493052,AUDJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-21T07:00:00+00:00,2026-07-21T00:25:24+00:00,113.609,-12.72,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
578493053,CADJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-07-21T07:00:00+00:00,2026-07-21T07:00:05+00:00,115.405,-2.24,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
578493733,EURJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-07-21T07:00:00+00:00,2026-07-21T07:00:05+00:00,185.425,-7.09,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
579088315,AUDJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-22T07:00:00+00:00,2026-07-22T05:07:51+00:00,114.233,7.96,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
579594382,EURJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-23T07:00:00+00:00,2026-07-23T05:30:00+00:00,186.229,8.34,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
580176231,EURJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-24T07:00:00+00:00,2026-07-24T05:48:47+00:00,186.413,8.5,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
580176229,AUDJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-07-24T07:00:00+00:00,2026-07-24T07:00:05+00:00,114.255,1.25,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
581248231,EURJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-28T07:00:00+00:00,2026-07-28T06:31:40+00:00,186.312,-12.75,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
581832143,EURJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-07-29T07:00:00+00:00,2026-07-29T03:53:09+00:00,186.437,-12.46,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
583033055,AUDJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-07-31T07:00:00+00:00,2026-07-31T07:00:05+00:00,112.85,-6.48,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
583033057,CADJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-07-31T07:00:00+00:00,2026-07-31T07:00:05+00:00,114.587,-5.1,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
583622176,AUDJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-08-03T07:00:00+00:00,2026-08-03T03:39:57+00:00,109.886,-7.32,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
583622177,CADJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-08-03T07:00:00+00:00,2026-08-03T03:41:24+00:00,111.117,-8.72,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
583676662,GBPJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-08-03T07:00:00+00:00,2026-08-03T07:00:06+00:00,210.741,6.27,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
584202064,AUDJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-08-04T07:00:00+00:00,2026-08-04T04:57:39+00:00,110.531,-5.08,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
584202065,CADJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-08-04T07:00:00+00:00,2026-08-04T07:00:07+00:00,112.255,-2.68,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
585486268,AUDJPY_AMR,A. CORRECTLY_EXECUTED,False,2026-08-06T07:00:00+00:00,2026-08-06T07:00:05+00:00,111.153,-4.12,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
586121074,EURJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-08-07T07:00:00+00:00,2026-08-07T02:16:31+00:00,182.525,4.02,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
586714281,AUDJPY_AMR,H. POSITION_ALREADY_CLOSED,False,2026-08-10T07:00:00+00:00,2026-08-10T04:58:39+00:00,111.827,-5.19,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,not a deviation -- no counterfactual needed
