strategy,h1_trades,h1_expectancy_R,h1_pf,h2_trades,h2_expectancy_R,h2_pf,sign_consistent,total_oos_trades,verdict
AUDJPY_AMR,132,0.1066,1.357,133,0.0252,1.07,True,265,PASS
CADJPY_AMR,122,0.0185,1.052,122,0.0743,1.24,True,244,PASS
EURJPY_AMR,150,0.1017,1.329,151,0.0919,1.297,True,301,PASS
GBPJPY_AMR,83,0.1837,1.575,83,0.2688,1.994,True,166,PASS
CADJPY_ARB,39,0.3813,2.034,39,0.1378,1.264,True,78,PASS
GBPUSD_MONDAY,33,0.0922,1.739,34,0.2357,3.363,True,67,PASS
