excluding_worst_n_days,n_days_remaining,corr_vol_vs_R,high_vol_avg_R,non_high_vol_avg_R,diff
0,774,-0.08,0.0352,0.3585,-0.3233
1,773,-0.074,0.0595,0.3585,-0.2991
5,769,-0.084,0.0811,0.3929,-0.3118
10,764,-0.068,0.1636,0.4032,-0.2396
