strategy,plateau_classification
AUDJPY_AMR,A. BROAD PLATEAU
CADJPY_AMR,B. MODERATE STABILITY
EURJPY_AMR,B. MODERATE STABILITY
GBPJPY_AMR,B. MODERATE STABILITY
CADJPY_ARB,B. MODERATE STABILITY
GBPUSD_MONDAY,B. MODERATE STABILITY
