configuration,total_R,max_dd
FULL_SIX_STRATEGY_CONTROL,194.11,-29.07
WITHOUT_AUDJPY_AMR,160.8,-27.07
WITHOUT_CADJPY_AMR,176.36,-24.26
WITHOUT_EURJPY_AMR,154.66,-20.52
WITHOUT_GBPJPY_AMR,136.1,-31.19
WITHOUT_CADJPY_ARB,168.64,-24.75
WITHOUT_GBPUSD_MONDAY,173.97,-30.62
