split,trades,win_rate_pct,pf,expectancy_R,total_R,max_dd_R,max_losing_streak
IS (2023-01-01 to 2025-01-01),517,37.1,0.961,-0.0239,-12.35,,
OOS (2025-01-01 to 2026-08-14),458,37.1,0.798,-0.119,-54.5,-57.62,12.0
